name,address-street,address-zipcode,address-place,google_search_link,category,phone,adress,website,email,handler_type,company_purpose,management,registration_number,profit_year,profit_amount,company_url
Scharpenberg Orthopädie-Technik GmbH,Neptunallee 1 a,18057.0,Rostock,https://www.google.de/search?q=Scharpenberg+Orthop%C3%A4die-Technik+GmbH+Neptunallee+1+a+18057+Rostock,Inkontinenzhilfen%2C+ableitend,,"Neptunallee 1A, 18057 Rostock",,,"Gesundheit, Wellness & Fitness","Betrieb von Sanitätshäusern, Herstellung und Vertrieb von orthopädischen Hilfsmitteln, Rehabilitationsartikeln und Krankenpflegemitteln sowie Vertrieb von Arzt- und Krankenhausbedarf.",Ralph Scharpenberg,HRB 16554 Amtsgericht Rostock,,,https://www.companyhouse.de/Scharpenberg-Orthopaedie-Technik-GmbH-Rostock
Rehaform GmbH Niederlassung Papendorf,Am Specking 2,18059.0,Papendorf,https://www.google.de/search?q=Rehaform+GmbH+Niederlassung+Papendorf+Am+Specking+2+18059+Papendorf,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
MTS Sanitätshaus AG,Mühlenweg 11,18198.0,Stäbelow,https://www.google.de/search?q=MTS+Sanit%C3%A4tshaus+AG+M%C3%BChlenweg+11+18198+St%C3%A4below,Inkontinenzhilfen%2C+ableitend,+49 38207 76640,"Mühlenweg 11, 18198 Stäbelow",mtsag.com,info@mtsag.com,Sanitätshauswesen und Rehatechnik,"MTS Sanitätshaus AG ist ein Unternehmen, sich auf die Bereitstellung von Sanitätsprodukten und -dienstleistungen spezialisiert hat. Das Unternehmen verleiht unter anderem elektrische Krankenbetten, Rollstühle und Rollatoren. Sein Ziel ist es, Menschen, auf diese Produkte angewiesen sind, eine verbesserte Mobilität und Lebensqualität zu bieten.","Adelheid Heinrich, Julia Wollschläger, Serge von Weber",HRB 8595 Amtsgericht Rostock,,,https://www.companyhouse.de/MTS-Sanitaetshaus-AG-Staebelow
Rehaform GmbH Sanitätshaus Ribnitz,Scheunenweg 9,18311.0,Ribnitz-Damgarten,https://www.google.de/search?q=Rehaform+GmbH+Sanit%C3%A4tshaus+Ribnitz+Scheunenweg+9+18311+Ribnitz-Damgarten,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Beerbaum Christian,Langestr. 33,18246.0,Bützow,https://www.google.de/search?q=Beerbaum+Christian+Langestr.+33+18246+B%C3%BCtzow,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Rehaform GmbH Sanitätshaus Bützow,Am Forsthof 22,18246.0,Bützow,https://www.google.de/search?q=Rehaform+GmbH+Sanit%C3%A4tshaus+B%C3%BCtzow+Am+Forsthof+22+18246+B%C3%BCtzow,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Sanitätshaus Philipp Cindy Hein e.K.,Gleviner Str. 19,18273.0,Güstrow,https://www.google.de/search?q=Sanit%C3%A4tshaus+Philipp+Cindy+Hein+e.K.+Gleviner+Str.+19+18273+G%C3%BCstrow,Inkontinenzhilfen%2C+ableitend,+49 3843 685944,"Glevinerstr. 19, 18273 Güstrow",sanitaetshaus-philipp.de,info@sanitaetshaus-philipp.de,Sanitätshaus- und Gesundheitshaus-Dienstleistungen,"Sanitätshaus Philipp Inhaber Cindy Hein e.K. bietet ein breites Spektrum an Pflegemitteln, Hilfsmitteln und medizinischen Geräten an, um Menschen mit Behinderungen oder chronischen Krankheiten zu unterstützen. Die wichtigsten Merkmale des Unternehmens sind die umfassende Auswahl an Produkten und Dienstleistungen, kompetente Beratung und technische Kundendienst. Der Zweck der Geschäftstätigkeit des Sanitätshauses ist es, Menschen zu helfen, ihre Alltagshilfen und -hilfen zu verbessern und ihre Gesundheit zu erhalten.",René Hein,Eingetragener Kaufmann,,,https://www.companyhouse.de/Sanitaetshaus-Philipp-Inhaber-Cindy-Hein-eK-Guestrow
Sanitätshaus & bioreform Griephan,Lange Str. 92,18356.0,Barth,https://www.google.de/search?q=Sanit%C3%A4tshaus+%26+bioreform+Griephan+Lange+Str.+92+18356+Barth,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
gmd pharma gmbh,Kattrepel 2,20095.0,Hamburg,https://www.google.de/search?q=gmd+pharma+gmbh+Kattrepel+2+20095+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 40 41912020,"Kattrepel 2, 20095 Hamburg",,,Pharmazie,Pharmazeutischer Großhandel,Ilja Ulf Gottschalk,HRB 114728 Amtsgericht Hamburg,,,https://www.companyhouse.de/gmd-pharma-gmbh-Hamburg
Orbisana Healthcare GmbH,Lohmühlenstr. 6,20099.0,Hamburg,https://www.google.de/search?q=Orbisana+Healthcare+GmbH+Lohm%C3%BChlenstr.+6+20099+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 2241 93220,"Biberweg 24-26, 53842 Troisdorf",servona.de,info@servona.de,Home Care & Medizintechnik,Sanitätshaus,Jörg Riemann,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Orbisana-Healthcare-GmbH-Troisdorf
Medilog Hamburg Teinert GmbH,Sorbenstr. 62 // 1. Etage,20537.0,Hamburg,https://www.google.de/search?q=Medilog+Hamburg+Teinert+GmbH+Sorbenstr.+62+%2F%2F+1.+Etage+20537+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 40 30398640,"Sorbenstr. 62, 20537 Hamburg",medilog-hamburg.de,info@medilog-hamburg.de,Medizinische Versorgung und häusliche Pflege,"Medilog  Teinert GmbH ist ein Homecare-Spezialist, sich durch ein Team qualifizierter und examinierter Mitarbeiter auszeichnet. Das Unternehmen bietet rund um die Uhr Unterstützung in Bereichen wie Enterale Ernährung, Parenterale Ernährung, Wundversorgung, Stomaversorgung, Inkontinenz, Hygienekonzepte, Diätberatung, Tracheostomaversorgung, Ernährungsberatung, Patientenpflege, Patientenüberleitung, Versorgung mit Sondenkost und Inkontinenzprodukten. Ihr Ziel ist es, Menschen in Pflegeeinrichtungen, Krankenhäusern, Arztpraxen und zu Hause durch fachkundige Pflege und Beratung zu unterstützen.","Tatjana Teinert, Michele Teinert",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Medilog-Hamburg-Teinert-GmbH-Hamburg
ThiesMediCenter GmbH,Hammer Deich 70,20537.0,Hamburg,https://www.google.de/search?q=ThiesMediCenter+GmbH+Hammer+Deich+70+20537+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 4821 88880,"Gasstr. 44-46, 25524 Itzehoe",thiesmedicenter.de,info@thiesmedicenter.de,Sanitätshaus-Branche,"ThiesMediCenter GmbH ist ein Sanitätshaus mit mehr als 75 Jahren Erfahrung in der Versorgung von Kunden im norddeutschen Raum. Das Unternehmen bietet eine Vielzahl von medizinischen Hilfsmitteln und Dienstleistungen an, darunter Rehatechnik, Homecare & Medizintechnik, Orthopädietechnik und Orthopädie-Schuhtechnik. Der Hauptzweck von ThiesMediCenter GmbH besteht darin, Menschen mit medizinischen Hilfsmitteln zu versorgen und ihnen eine bessere Lebensqualität zu bieten.",Hans-Jürgen Westphal,,,,https://www.companyhouse.de/ThiesMediCenter-GmbH-Itzehoe
Sanitätshaus Kutschke Jens Kutschke,Stenzelring 39,21107.0,Hamburg,https://www.google.de/search?q=Sanit%C3%A4tshaus+Kutschke+Jens+Kutschke+Stenzelring+39+21107+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Apotheke an der Fabrik Inh. Meike Leittersdorf,Bahrenfelder Str. 242-244,22765.0,Hamburg,https://www.google.de/search?q=Apotheke+an+der+Fabrik+Inh.+Meike+Leittersdorf+Bahrenfelder+Str.+242-244+22765+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
embemed Bleckmann Medicalprodukte GmbH,Marlowring 4,22525.0,Hamburg,https://www.google.de/search?q=embemed+Bleckmann+Medicalprodukte+GmbH+Marlowring+4+22525+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 40 851503880,"Marlowring 4, 22525 Hamburg",,,Herstellung und Vertrieb von medizinischen Produkten,"Bleckmann Medicalprodukte GmbH ist ein Unternehmen, sich auf die Herstellung und den Vertrieb von medizinischen Produkten konzentriert. Die wichtigsten Merkmale des Unternehmens sind die Entwicklung und Vertrieb von Produkten für die Infusion, Transfusion, Biopsie, Kontinenz und Brustgewebemarker. Der Zweck der Geschäftstätigkeit von embemed Bleckmann Medicalprodukte GmbH besteht darin, medizinischen Fachpersonal und Patienten medizinische Produkte anzubieten, den größtmöglichen Nutzen bringen.","Alexander Julian Weidner, Masud Mir, Ernst-Matthias Bleckmann",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/embemed-Bleckmann-Medicalprodukte-GmbH-Hamburg
Amacuro GmbH,Gasstr. 18,22761.0,Hamburg,https://www.google.de/search?q=Amacuro+GmbH+Gasstr.+18+22761+Hamburg,Inkontinenzhilfen%2C+ableitend,,"Gasstraße 18, 22761 Hamburg",,,Großhandel,"Versorgung sowie pharmazeutische und medizinische Fachhandel, unter anderem im Bereich der Wundversorgung, Stoma, Inkontinenz, enteraler und parenteraler Ernährung sowie weiterer Heil- und Hilfsmittel im gesetzlich zulässigen Umfang und Erbringung von Serviceleistungen in diesen Bereichen.",Tim Niklas Zeifang,HRB 178300 Amtsgericht Hamburg,,,https://www.companyhouse.de/Amacuro-GmbH-Hamburg
ACTO Manufaktur Hamburg KG Jörg Schiebler,Behringstr. 116,22763.0,Hamburg,https://www.google.de/search?q=ACTO+Manufaktur+Hamburg+KG+J%C3%B6rg+Schiebler+Behringstr.+116+22763+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Reha Service Loose GmbH,Försterweg 130,22525.0,Hamburg,https://www.google.de/search?q=Reha+Service+Loose+GmbH+F%C3%B6rsterweg+130+22525+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,https://www.companyhouse.de/Reha-Service-Loose-GmbH
Sanitätshaus Rosenau GmbH,Ostpreußenplatz 20,22049.0,Hamburg,https://www.google.de/search?q=Sanit%C3%A4tshaus+Rosenau+GmbH+Ostpreu%C3%9Fenplatz+20+22049+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 36482 169990,"Haldesdorferstr. 58, 22179 Hamburg",san-rosenau.de,info@san-rosenau.de,Sanitätshäuser und Reha-Medizin-Technik,"Sanitätshaus Rosenau GmbH bietet qualitative medizinische, reha- & orthopädietechnische Produkte an. Das Unternehmen zeichnet sich durch sein Prothetisches Kompetenzzentrum, Reha- & Medizintechnik und Sanitätshäuser aus. Der Zweck der Geschäftstätigkeit von Sanitätshaus Rosenau GmbH ist es, Menschen mit medizinischen Bedarf zu unterstützen und ihnen qualitativ hochwertige Produkte und Dienstleistungen anzubieten.","Henning Heinrich Egon Schoeneich, Martin Rosenau, Klaus Friedrich Vollmert",HRB 49874 Amtsgericht Hamburg,,,https://www.companyhouse.de/Sanitaetshaus-Rosenau-GmbH-Hamburg
Coloplast GmbH Coloplast Homecare,Am Neumarkt 42,22041.0,Hamburg,https://www.google.de/search?q=Coloplast+GmbH+Coloplast+Homecare+Am+Neumarkt+42+22041+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Orchideen-Apotheke Andreas Mangelsen,Schreyerring 41,22309.0,Hamburg,https://www.google.de/search?q=Orchideen-Apotheke+Andreas+Mangelsen+Schreyerring+41+22309+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Bramfelder Apotheke Sefika Alici Keser,Bramfelder Chaussee 187,22177.0,Hamburg,https://www.google.de/search?q=Bramfelder+Apotheke+Sefika+Alici+Keser+Bramfelder+Chaussee+187+22177+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
ASSMANN GmbH,Rahlau 62,22045.0,Hamburg,https://www.google.de/search?q=ASSMANN+GmbH+Rahlau+62+22045+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 431 7757320,"Edisonstr. 46, 24145 Kiel",,kontakt@assmann-kiel.de,Großhandel,"Betreiben eines Sanitäts- und Orthopädiefachgeschäftes, Handel mit Medizin-, Orthopädie- und Rehabilitationshilfsmitteln;Homecare;Service, Sonderanfertigungen und Beratung in den genannten Bereichen.","Horst Sauerwein, Christina Thomsen",HRB 6095 KI Amtsgericht Kiel,,,https://www.companyhouse.de/Assmann-GmbH-Kiel
Stolle Sanitätshaus GmbH & Co. KG,Friedrich-Ebert-Damm 309,22159.0,Hamburg,https://www.google.de/search?q=Stolle+Sanit%C3%A4tshaus+GmbH+%26+Co.+KG+Friedrich-Ebert-Damm+309+22159+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 40 645960,"Friedrich-Ebert-Damm 309, 22159 Hamburg",stolle-ot.de,info@stolle-ot.de,Sanitätshausdienstleistungen und Medizinprodukte,Handel mit und Herstellung von medizinischen und orthopädischen Artikeln.,"Thomas Möller, Detlef Möller, Marco Huckels",Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/Stolle-Sanitaetshaus-GmbH-Co-KG-Hamburg
alphapoint apotheke Dr. Ulf Haverland e.K.,Öjendorfer Damm 50,22043.0,Hamburg,https://www.google.de/search?q=alphapoint+apotheke+Dr.+Ulf+Haverland+e.K.+%C3%96jendorfer+Damm+50+22043+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 40 6537170,"Öjendorfer Damm 50, 22043 Hamburg",liliencron-apotheke.de,info@apo-apo.de,Apothekenwesen,Apotheke Dr. Ulf Haverland e.K,,Eingetragener Kaufmann,,,https://www.companyhouse.de/Alphapoint-Apotheke-Dr-Ulf-Haverland-eK-Hamburg
Ortho-Team/Reha-Team Dierbach GmbH & Co KG,Großer Schippsee 38,21073.0,Hamburg,https://www.google.de/search?q=Ortho-Team%2FReha-Team+Dierbach+GmbH+%26+Co+KG+Gro%C3%9Fer+Schippsee+38+21073+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
M.C.S. ConPharm GmbH,Möllner Landstr. 28,22113.0,Oststeinbek,https://www.google.de/search?q=M.C.S.+ConPharm+GmbH+M%C3%B6llner+Landstr.+28+22113+Oststeinbek,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Hanseatisches Gesundheitskontor,Hummelsbütteler Markt 13,22339.0,Hamburg,https://www.google.de/search?q=Hanseatisches+Gesundheitskontor+Hummelsb%C3%BCtteler+Markt+13+22339+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
UROMED Kurt Drews KG,Meessen 7 - 11,22113.0,Oststeinbek,https://www.google.de/search?q=UROMED+Kurt+Drews+KG+Meessen+7+-+11+22113+Oststeinbek,Inkontinenzhilfen%2C+ableitend,+49 40 7130070,"Meessen 7/11, 22113 Oststeinbek",servment.de,service@uromed.de,,"UROMED Kurt Drews KG ist ein Unternehmen, sich auf die Herstellung und den Vertrieb von Medizinprodukten spezialisiert hat. Es ist bekannt für seine innovativen Lösungen und sein Engagement für Qualität. Der Zweck des Unternehmens ist es, Produkte anzubieten, die Lebensqualität von Menschen mit medizinischen Bedürfnissen verbessern.","Stefan Heckmann, Torsten Rutkowski, Thomas Hems, Margot Drews, Oliver Drews",Kommanditgesellschaft,,,https://www.companyhouse.de/UROMED-Kurt-Drews-KG-Oststeinbek
GLP medical GmbH,Großmoorbogen 25,21079.0,Hamburg,https://www.google.de/search?q=GLP+medical+GmbH+Gro%C3%9Fmoorbogen+25+21079+Hamburg,Inkontinenzhilfen%2C+ableitend,,Hamburg,,,Großhandel,Medizintechnikvertrieb,"Tammo Schurig Freiherr von Schrenck von Notzing, Dr. André von Froreich, Michael Köhling",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/GLP-Gesellschaft-fuer-Labor-und-Praxisbedarf-mbH-Hamburg
German Medical Protection GmbH,Bei der Neuen Münze 25,22145.0,Hamburg,https://www.google.de/search?q=German+Medical+Protection+GmbH+Bei+der+Neuen+M%C3%BCnze+25+22145+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 40 593625160,"Bei der Neuen Münze 25, 22145 Hamburg",gmedp.de,info@gmedp.de,Herstellung und Vertrieb von medizinischen Schutzhandschuhen,"German Medical Protection GmbH ist ein Unternehmen, sich auf die Herstellung und den Vertrieb von medizinischen Schutzhandschuhen spezialisiert hat. Das Unternehmen bietet eine Reihe von Nitril-Einweghandschuhen in verschiedenen Größen an, latexfrei und puderfrei sind. Der Zweck des Unternehmens ist es, hochwertige medizinische Schutzausrüstung bereitzustellen, um die Sicherheit von medizinischen Fachkräften und Patienten zu gewährleisten.",Ali Sina Akbari,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/German-Medical-Protection-GmbH-Hamburg
Reha-Team Hamburg GmbH,Osterrade 36 a,21031.0,Hamburg,https://www.google.de/search?q=Reha-Team+Hamburg+GmbH+Osterrade+36+a+21031+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 7393 8383,"Osterrade 36a, 21031 Hamburg",grotjahn.de,info@grotjahn.de,Rehabilitationstechnik und Sanitätsartikel,"GmbH Rehabilitationstechnik am Menschen ist ein Spezialist für Mobilität und Pflege. Das Unternehmen bietet Produkte wie Rollatoren, Rollstühle, Elektroscooter, Pflegebetten und Homecareprodukte an und unterstützt Kunden bei der Auswahl und Abwicklung mit ihrer Krankenkasse.",Edith Elfriede Kneidl,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/reha-team-Hamburg-GmbH-Rehabilitationstechnik-am-Menschen-Hamburg
gesundleben Apotheke Andreas Mangelsen,Harksheider Str. 3,22399.0,Hamburg,https://www.google.de/search?q=gesundleben+Apotheke+Andreas+Mangelsen+Harksheider+Str.+3+22399+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Regenbogen-Apotheke Andreas Mangelsen,Moorhof 7 b,22399.0,Hamburg,https://www.google.de/search?q=Regenbogen-Apotheke+Andreas+Mangelsen+Moorhof+7+b+22399+Hamburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Luna-Care GmbH,Havighorster Weg 8 d,21031.0,Hamburg,https://www.google.de/search?q=Luna-Care+GmbH+Havighorster+Weg+8+d+21031+Hamburg,Inkontinenzhilfen%2C+ableitend,+49 40 401131800,"Havighorster Weg 8d, 21031 Hamburg",,,Großhandel,Vertriebsdienst,"Stefan Kraus, Ulf Harms",HRB 83533 Amtsgericht Hamburg,,,https://www.companyhouse.de/LUNA-CARE-GmbH-Hamburg
Bonafide Homecare GmbH,Bergstr. 3,25462.0,Rellingen,https://www.google.de/search?q=Bonafide+Homecare+GmbH+Bergstr.+3+25462+Rellingen,Inkontinenzhilfen%2C+ableitend,,"Bergstr. 3, 25462 Rellingen",,,Finanzdienstleistungen,"Durchführung, Koordination sowie Buchhaltung und Abrechnung mit den Krankenkassen im Bereich der häuslichen Krankenpflege (Wundversorgung etc.) sowie alle damit im Zusammenhang stehenden Tätigkeiten.","Lars Kaland, Serhat Özek",HRB 16752 PI Amtsgericht Pinneberg,,,https://www.companyhouse.de/Bonafide-Homecare-GmbH-Rellingen
M.S.J. Janku GmbH,Im Bruch 13,21220.0,Seevetal,https://www.google.de/search?q=M.S.J.+Janku+GmbH+Im+Bruch+13+21220+Seevetal,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
(P)innauMed UG (haftungsbeschränkt),Friedenstr. 100,25421.0,Pinneberg,https://www.google.de/search?q=%28P%29innauMed+UG+%28haftungsbeschr%C3%A4nkt%29+Friedenstr.+100+25421+Pinneberg,Inkontinenzhilfen%2C+ableitend,+49 4101 208622,"Friedenstr. 100, 25421 Pinneberg",,,Großhandel,,Stefanie Zänker,,,,https://www.companyhouse.de/PinnauMed-UG-Pinneberg
HTMa - Home Therapie Management GmbH,Bogenstr. 28 a,22926.0,Ahrensburg,https://www.google.de/search?q=HTMa+-+Home+Therapie+Management+GmbH+Bogenstr.+28+a+22926+Ahrensburg,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
B&F QuCare GmbH,Hamburger Str. 10,22926.0,Ahrensburg,https://www.google.de/search?q=B%26F+QuCare+GmbH+Hamburger+Str.+10+22926+Ahrensburg,Inkontinenzhilfen%2C+ableitend,,"Hamburgerstr. 10, 22926 Ahrensburg",,,Immobilien,Betrieb eines Sanitätshauses.,"Suzana Blagic, Konstantinos Fotiadis",HRB 24142 HL Amtsgericht Lübeck,,,https://www.companyhouse.de/BF-QuCare-GmbH-Ahrensburg
Roland Klein GmbH,Bahnhofstr. 52,21614.0,Buxtehude,https://www.google.de/search?q=Roland+Klein+GmbH+Bahnhofstr.+52+21614+Buxtehude,Inkontinenzhilfen%2C+ableitend,,"Brackestr. 11, 38159 Vechelde",,,Finanzdienstleistungen,"Übernahme der persönlichen Haftung als Komplementärin, insbesondere der Roland Klein Verwaltungs GmbH & Co. KG.",Roland Klein,HRB 203382 Amtsgericht Braunschweig,,,https://www.companyhouse.de/Roland-Klein-GmbH-Vechelde
Sonnen-Apotheke Jörg Hoffmann,Königstr. 32,25335.0,Elmshorn,https://www.google.de/search?q=Sonnen-Apotheke+J%C3%B6rg+Hoffmann+K%C3%B6nigstr.+32+25335+Elmshorn,Inkontinenzhilfen%2C+ableitend,,"Königstr. 32, 25335 Elmshorn",,,Einzelhandel,,Fritz Rechtsform Lucht,,,,https://www.companyhouse.de/Sonnen-Apotheke-Inhaber-Joerg-Hoffmann-eK-Elmshorn
Markt Apotheke im CCE Jörg Hoffmann,Wedenkamp 22 b,25335.0,Elmshorn,https://www.google.de/search?q=Markt+Apotheke+im+CCE+J%C3%B6rg+Hoffmann+Wedenkamp+22+b+25335+Elmshorn,Inkontinenzhilfen%2C+ableitend,,"Rübekamp 25, 25421 Pinneberg",,,Einzelhandel,,Pinneberg Hoffmann,,,,https://www.companyhouse.de/Ruebekamp-Apotheke-Filialapotheke-der-Markt-Apotheke-im-CCE-e-K-Elmshorn-Inhaber-Apotheker-Joerg-Hoffmann-Pinneberg
LÜKRA Krankenfahrstühle- Service GmbH,Avendorfer Weg 67,21395.0,Tespe,https://www.google.de/search?q=L%C3%9CKRA+Krankenfahrst%C3%BChle-+Service+GmbH+Avendorfer+Weg+67+21395+Tespe,Inkontinenzhilfen%2C+ableitend,+49 4176 94990,"Avendorfer Weg 67, 21395 Tespe",luekra.de,reha@luekra.de,Krankenfahrstuhl-Service,"Handel mit und Verkauf von Krankenfahrstühlen sowie deren Pflege, Wartung und Reparatur und Verkauf von Rehabilitationsmitteln wie auch das Betreiben von allen Geschäften und Tätigkeiten, mit den vorgenannten Zwecken der Gesellschaft im Zusammenhang stehen und ihnen förderlich sind.","Carola Bernsdorf, André Machts",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/LUeKRA-Krankenfahrstuehle-Service-GmbH-Tespe
R. Klein GmbH City-Gesundheits-Centrum,Klarenstrecker Damm 5,21684.0,Stade,https://www.google.de/search?q=R.+Klein+GmbH+City-Gesundheits-Centrum+Klarenstrecker+Damm+5+21684+Stade,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
reha team Busch GmbH & Co. KG,Marktstr. 3,21698.0,Harsefeld,https://www.google.de/search?q=reha+team+Busch+GmbH+%26+Co.+KG+Marktstr.+3+21698+Harsefeld,Inkontinenzhilfen%2C+ableitend,+49 4767 333450,"Zum Branden 23, 27432 Bremervörde",reha-team-busch.de,nfo@reha-team-busch.de,"Rehabilitationstechnik, Orthopädietechnik, Sanitätshausbedarf und Homecare-Versorgung","Busch GmbH & Co. KG ist ein Anbieter von Rehabilitationstechnik, Orthopädietechnik und Sanitätshausbedarf. Das Unternehmen zeichnet sich durch ein breites Sortiment hochwertiger Produkte und eine umfassende, leidenschaftliche Beratung aus, um die Mobilität und Lebensqualität seiner Kunden zu verbessern.",Malte Busch,Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/reha-team-Busch-GmbH-Co-KG-Bremervoerde
Sanitätshaus Roland Klein GmbH,Wallstr. 18,21682.0,Stade,https://www.google.de/search?q=Sanit%C3%A4tshaus+Roland+Klein+GmbH+Wallstr.+18+21682+Stade,Inkontinenzhilfen%2C+ableitend,+49 4141 788330,"Klarenstrecker Damm 5, 21684 Stade",city-gesundheitscentrum.de,info@city-gesundheitscentrum.de,"Sanitätshaus, Orthopädie-Technik, Orthopädieschuhtechnik und Reha-Technik","Sanitätshaus Roland Klein GmbH ist ein Dienstleister in Nordniedersachsen, sich auf Pflege, Rehatechnik, Orthopädietechnik, Orthopädie-Schuhtechnik sowie Medizintechnik spezialisiert hat. Das Unternehmen zeichnet sich durch die langjährige Erfahrung seiner Mitarbeiter, moderne Technik und innovative Konzepte aus, darauf abzielen, Lebensqualität der Kunden zu verbessern.","Oliver Klein, Roland Klein, Orthopädiemechanikermeister Manfred Klein",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Sanitaetshaus-Roland-Klein-GmbH-Stade
Sanitätshaus Manfred Klein GmbH & Co. KG,Wallstr. 38,21682.0,Stade,https://www.google.de/search?q=Sanit%C3%A4tshaus+Manfred+Klein+GmbH+%26+Co.+KG+Wallstr.+38+21682+Stade,Inkontinenzhilfen%2C+ableitend,+49 4141 2468,"Wallstraße 38, 21682 Stade",,,Pharmazie,Sanitätshaus,Margarethe Till,Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/Sanitaetshaus-Manfred-Klein-GmbH-Co-KG-Stade
Aponova GmbH,Wolkenweher Weg 3,23843.0,Bad Oldesloe,https://www.google.de/search?q=Aponova+GmbH+Wolkenweher+Weg+3+23843+Bad+Oldesloe,Inkontinenzhilfen%2C+ableitend,+49 4531 1840900,"Wolkenweher Weg 3, 23843 Bad Oldesloe",aponova.com,kontakt@aponova.com,Großhandel,Gesellschaft ist der Betrieb eines Sanitätshauses sowie Handel mit bzw.,Jens Sauter,Gesellschaft mit beschränkter Haftung,2022.0,5380253.09,https://www.companyhouse.de/Aponova-GmbH-Bad-Oldesloe
Sanitätshaus Kowsky GmbH,Bleeck 25,24576.0,Bad Bramstedt,https://www.google.de/search?q=Sanit%C3%A4tshaus+Kowsky+GmbH+Bleeck+25+24576+Bad+Bramstedt,Inkontinenzhilfen%2C+ableitend,+49 4321 99450,"Havelstr. 6, 24539 Neumünster",kowsky.com,info@kowsky.com,"Sanitätsartikel, Reha, Orthopädie und Pflege","Sanitätshaus Kowsky GmbH ist ein Anbieter von Gesundheitslösungen, sich auf Produkte und Dienstleistungen in den Bereichen Inkontinenz, Kompression, Brustprothetik, Podologie, Einlagen und behindertengerechten KFZ-Umbau spezialisiert hat. Das Unternehmen zeichnet sich durch ein breites Filialnetz in Schleswig-Holstein und Mecklenburg-Vorpommern aus, eine umfassende und persönliche Beratung ermöglicht.","Jörg Ernst Kowsky, Sezgin Yildirim, Michael Rahn",HRB 1282 NM Amtsgericht Kiel,,,https://www.companyhouse.de/Sanitaetshaus-Kowsky-GmbH-Neumuenster
Schütt & Jahn GmbH,Zur Höhe 10,24955.0,Harrislee,https://www.google.de/search?q=Sch%C3%BCtt+%26+Jahn+GmbH+Zur+H%C3%B6he+10+24955+Harrislee,Inkontinenzhilfen%2C+ableitend,+49 461 493493,"Heideland Süd 7, 24976 Handewitt",orthopaedie-schuhtechnik-flensburg.de,kontakt@schuett-jahn.de,"Sanitätshaus mit Schwerpunkt auf Orthopädie- und Rehatechnik, einschließlich Dienstleistungen für Kinder und Alltagshilfen",Herstellung von und Handel mit orthopädischen und rehabilitationstechnischen Artikeln und Betrieb eines Sanitätshauses.,Norbert Kuss,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Sanitaetshaus-Schuett-und-Jahn-GmbH-Handewitt
